"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"6509","Normal/Others","WS/MP846/2024-2025/148634-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of Borewell at Near  Primary school in Gudur (v) of Palakurthy(M) Jangaon Dist","29-Oct-2024","85000","16-Dec-2024"
"6510","Normal/Others","WS/MP846/2024-2025/148635-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of Borewell at Back Side of Primary school in Gudur(v) of Palakurthy(M) Jangaon Dist","29-Oct-2024","85000","16-Dec-2024"
"6511","Normal/Others","WS/MP846/2024-2025/148637-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of Borewell at 2BHK Houses Gudur(v)  of Palakurthy(M) Jangaon Dist","29-Oct-2024","85000","16-Dec-2024"
"6512","Normal/Others","WS/MP846/2024-2025/148638-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of Borewell at Primary School in Gudur(v) Of Palakurthy(M) Jangaon Dist","29-Oct-2024","85000","16-Dec-2024"
"6513","Normal/Others","WS/MP846/2024-2025/148640-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of Borewell and Supply anf Fixing 5.HP pumpsent at  Thirumalagiri (V), Palakurthy(M) Jangaon Dist","29-Oct-2024","200000","16-Dec-2024"
"6514","Normal/Others","WS/MP846/2024-2025/148641-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of Borewell at Fire Department  in Palakurthy(v) of Palakurthy (M) Jangaon Dist","29-Oct-2024","85000","16-Dec-2024"
"6515","Normal/Others","WS/MP846/2024-2025/148642-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of Borewell at Showrya Community Hall in Palakurthy(v) of Palakurthy(M) Jangaon Dist","29-Oct-2024","85000","16-Dec-2024"
"6516","Normal/Others","WS/MP846/2024-2025/148643-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of Borewell at Social Welfare Residential School in Palakurthy(v) of Palakurthy(M) Jangaon Dist","29-Oct-2024","85000","16-Dec-2024"
"6517","Normal/Others","WS/MP846/2024-2025/148644-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of Borewell at Govt Hospital in Palakurthy(v) of Palakurthy(M) Jangaon Dist","29-Oct-2024","85000","16-Dec-2024"
"6518","Normal/Others","WS/MP846/2024-2025/148645-Installing hand pumps","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Supply and Fixing of 1.0HP pumpset at Showrya Community Hall in Palakurthy(v)  of Palakurthy (M) Jangaon Dist","29-Oct-2024","60000","16-Dec-2024"
"6519","Normal/Others","WS/MP846/2024-2025/148646-Installing hand pumps","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Supply and Fixing of 1.0HP pumpset at 2BHK Houses in Eravennu(v) of Palakurthy (M) Jangaon Dist","29-Oct-2024","60000","16-Dec-2024"
"6520","Normal/Others","WS/MP846/2024-2025/148647-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of Borewell at Near Primary school in Mutharam(v) of Palakurthy(M) Jangaon Dist","29-Oct-2024","85000","16-Dec-2024"
"6521","Normal/Others","WS/MP846/2024-2025/148648-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of borewell and fixing of 1.0 HP at 2BHK houses, Vill: Chennur, Mandal: Palakurthy Jangaon Dist","29-Oct-2024","150000","16-Dec-2024"
"6522","Normal/Others","WS/MP846/2024-2025/148669-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of borewell  and fixing of 5.0 HP pumpset at Lavudya thanda H/o Chennur of Palakurthy Mandal. Jangaon Dist","29-Oct-2024","200000","16-Dec-2024"
"6523","Normal/Others","WS/MP846/2024-2025/148670-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of borewell and fixing of 1.0 HP pumpset at water plant in Chennur (Vill)Palakurthy Mandal. Jangaon Dist","29-Oct-2024","150000","16-Dec-2024"
"6524","Normal/Others","WS/MP846/2024-2025/148671-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of borewell and fixing of 5.0 HP pumpset at Dubba thanda H/o Pedda thanda(B) (Vill), Mandal: Palakurthy Jangaon Dist","29-Oct-2024","200000","16-Dec-2024"
"6525","Normal/Others","WS/MP846/2024-2025/148672-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of borewell and fixing of 1.0 HP pumpset at 2BHK houses in Eravennu Village, Mandal: Palakurthy Jangaon Dist","29-Oct-2024","150000","16-Dec-2024"
"6526","Normal/Others","WS/MP846/2024-2025/148673-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of borewell and fixing of 1.0 HP pumpset at 2BHK houses in Gudur Village, Mandal: Palakurthy Jangaon Dist","29-Oct-2024","150000","16-Dec-2024"
"6527","Normal/Others","WS/MP846/2024-2025/148674-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of borewell and fixing of 1.0 HP pumpset at 2BHK houses in Kondapuram Village, Mandal: Palakurthy Jangaon Dist","29-Oct-2024","150000","16-Dec-2024"
"6528","Normal/Others","WS/MP846/2024-2025/148675-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of borewell and fixing of 5.0 HP pumpset at Pedda Chueuvu in Bommera Village, Mandal: Palakurthy Jangaon Dist","29-Oct-2024","200000","16-Dec-2024"
"6529","Normal/Others","WS/MP846/2024-2025/148676-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of Borewell and fixing of 1 HP pumpsetr at 2BHK houses in Palakurthy, Mandal: Palakurthy Jangaon Dist","29-Oct-2024","150000","16-Dec-2024"
"6530","Normal/Others","WS/MP846/2024-2025/148677-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of borewell and 1.0 HP pumpset at Govt. Hospital in Palakurthy, Mandal: Palakurthy Jangaon Dist","29-Oct-2024","150000","16-Dec-2024"
"6531","Normal/Others","WS/MP846/2024-2025/148678-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of borewell and fixing of 1.0 HP pumpset at Press Colony in Palakurthy, Mandal: Palakurthy Jangaon Dist","29-Oct-2024","150000","16-Dec-2024"
"6532","Normal/Others","WS/MP846/2024-2025/148679-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of Borwell and fixing of 1.0 HP pumpset at gutta  in Palakurtgy, Mandal: Palakurthy Jangaon Dist","23-Oct-2024","150000","16-Dec-2024"
"6533","Normal/Others","WS/MP846/2024-2025/148680-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of borewell and fixing of 5.0 HP pumpset at yadava colony in Palakurthy, Mandal: Palakurthy Jangaon Dist","23-Oct-2024","200000","16-Dec-2024"
"6534","Normal/Others","WS/MP846/2024-2025/148681-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of borewell and fixing of 5.0 HP at Velugu School in Palakurthy (Vill)Palakurthy Mandal Jangaon Dist","23-Oct-2024","200000","16-Dec-2024"
"6535","Normal/Others","WS/MP846/2024-2025/148682-Installing tube-wells and borewells","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Drilling of Borewell and fixing of 1.0 HP at 2BHK houses in Dardepally Village, Mandal: Palakurthy Jangaon Dist","23-Oct-2024","150000","16-Dec-2024"
"6536","Normal/Others","WS/MP846/2024-2025/148683-Construction of community centers and community halls","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Construction of Community Hall at  Manchuppula(V) of Palakurthy(M), Jangaon Dist","23-Oct-2024","500000","16-Dec-2024"
"6537","Normal/Others","WS/MP846/2025-2026/148684-Construction of culverts and bridges","Telangana","WARANGAL(District Collector Warangal_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o Pipe Culverts on R/F at Aregudem BT Road to Lalma Thanda in  Aregudem(V), Rayaparthy(M) Warangal Dist","23-Oct-2024","500000","12-Jan-2026"
"6538","Normal/Others","WS/MP846/2025-2026/148685-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","WARANGAL(District Collector Warangal_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of metal road  From BT Road (L.Shravan (H)) to Bruhath Palle Prakurthi Vanam in Aregudem(V), Rayaparthy(M) Warangal Dist.","23-Oct-2024","500000","12-Jan-2026"
"6539","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","WARANGAL(District Collector Warangal_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of Metal Road From Moripirala R&B Road to N.Ashok Land Via Oollakunta in Shivaramapuram, R&R Colony (V), Rayaparthy(M) Bit-I Warangal Dist.","23-Oct-2024","500000","NA"
"6540","Normal/Others","WS/MP052/2024-2025/148726-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction of P. C. C. Road  work path leading from pakadiya tola to Bhediharwa in village bhediharwa, village council bhediharwa,  Block   Narkatiyaganj West champaran bihar. Estimated Amount Rs. 600000","20-Oct-2024","596582","09-Dec-2024"
"6541","Normal/Others","WS/MP052/2024-2025/148727-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction of bricks soling and P. C. C. Road  work jaymanglapur main road to brahm sthan in village jaymanglapur, Ward No.- 08, village council Dhumnagar, Block   Narkatiyaganj West champaran bihar. Estimated Amount Rs. 600000","20-Oct-2024","600000","24-Dec-2024"
"6542","Normal/Others","WS/MP052/2024-2025/148728-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction of P. C. C. Road  work path leading from PWD road to sree Vinod ram via Punnu shrivastava's house in Pipra diuliya, municipal council Narkatiyaganj, Ward No. 25,  Block   Narkatiyaganj West champaran bihar. Estimated Amount Rs. 600000","20-Oct-2024","597223","09-Dec-2024"
"6543","Normal/Others","WS/MP052/2024-2025/148729-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","ward no. 23","20-Oct-2024","589705","04-Mar-2025"
"6544","Normal/Others","WS/MP052/2024-2025/148730-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction of P. C. C. Road  work from Manir khan's house to chhath ghat  in village Jaminiya, Ward No. 13, of Gram Panchayat Raj Dhumnagar,  Block   Narkatiyaganj West champaran bihar. Estimated Amount Rs. 600000","20-Oct-2024","590782","21-Mar-2025"
"6545","Normal/Others","WS/MP052/2024-2025/148731-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction of Bricks soling and P. C. C. Road  work from sree Vindresh tiwari's house to sree satyanarayan pandey's house in village Ankhwan Jaminiya, Ward No. 14, of Gram Panchayat Raj Dhumnagar,  Block   Narkatiyaganj West champaran bihar. Estimated Amount Rs. 600000","20-Oct-2024","595873","09-Dec-2024"
"6546","Normal/Others","WS/MP052/2024-2025/148732-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","construction of P. C. C. Road  work from main road to Bambam gupta's hiuse in village Jaminiya, Ward No. 13, of Gram Panchayat Raj Dhumnagar,  Block   Narkatiyaganj West champaran bihar. Estimated Amount Rs. 600000","20-Oct-2024","596398","24-Dec-2024"
"6547","Normal/Others","WS/MP052/2024-2025/148733-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction of P. C. C. Road  work from Shri sree kali mai sthan to sree Manikant upadhya's hiuse village Bakwa, Ward No. 04, of Gram Panchayat Raj chandarpur ratwal,  Block Block Bagha-1 West champaran bihar. Estimated Amount Rs. 600000","20-Oct-2024","597473","23-Dec-2024"
"6548","Normal/Others","WS/MP052/2024-2025/148739-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction of P. C. C. Road  work path leading from mahjan miya's house to Ramadhawat Padit's house in village Sirisiya, Ward no. 05, village council Sirisiya ,  Block   Sikta West champaran bihar. Estimated Amount Rs. 600000","20-Oct-2024","592470","18-Mar-2025"
"6549","Normal/Others","WS/MP052/2024-2025/148740-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction of P. C. C. Road  work path leading from main road via Bhikhari yadav's house to Sukhal paswan's house in village Sherwa bhuski, ward no. - 9, village council Dangraul,  Block   Narkatiyaganj West champaran bihar. Estimated Amount Rs. 600000","20-Oct-2024","598942","24-Dec-2024"
"6550","Trust and Society","WS/MP18300/2026-2027/148907-Construction of community centers and community halls","Bihar","NAWADA(District Planning Officer NAWADA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Reconstruction of Chandel Bhawan 48 feet BY 24.50 feet","21-Oct-2024","1499900","13-Apr-2026"
"6551","Normal/Others","WS/MP18300/2024-2025/148908-Installing hand pumps","Bihar","NAWADA(District Planning Officer NAWADA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (india mark II) at a public place near the Bajrang Bali Temple in village  Adal bigha of Ward No. 10 of Bahadurpur Panchayat.","21-Oct-2024","76020","26-Mar-2025"
"6552","Normal/Others","WS/MP18300/2024-2025/148909-Installing hand pumps","Bihar","SARAN(DISTRICT PLANNING OFFICE SARAN CHAPRA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (india mark II) at a public place near the house of Jitendra Singh Chandravanshi in village Rasulpur of Ward No. 1 of Rasulpur Panchayat.","21-Oct-2024","81461","18-Mar-2025"
"6553","Normal/Others","WS/MP18300/2024-2025/148910-Installing hand pumps","Bihar","SARAN(DISTRICT PLANNING OFFICE SARAN CHAPRA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (india mark II) at a public place near the house of Umesh Singh Chandravanshi in village Rasulpur of Ward No. 7 of Rasulpur Panchayat.","21-Oct-2024","81461","18-Mar-2025"
"6554","Normal/Others","WS/MP18300/2026-2027/148913-Installing hand pumps","Bihar","JEHANABAD(DISTRICT PLANNING OFFICER JEHANABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (india mark II)","21-Oct-2024","83000","11-Aug-2026"
"6555","Repair and Renovation","WS/MP171/2024-2025/148939-Construction of additional rooms and halls in the existing public and community building","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Providing/Construction of Toilets and Sanitary Equipment at GP Community Hall Building at Narayanapur(V&M), Yadadri Bhongir Dist.","21-Oct-2024","498000","24-Dec-2024"
"6556","Repair and Renovation","WS/MP171/2024-2025/148940-Construction of additional rooms and halls in the existing public and community building","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Providing Additional Structure for GP Community Hall Building at Narayanapur(V&M), Yadadri Bhongir Dist.","21-Oct-2024","498000","24-Dec-2024"
"6557","Normal/Others","NA-Construction of additional rooms and halls in the existing public and community building","Telangana","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Construction of Extra Floor on Existing Community Hall at Sonala (V), Boath(M), Adilabad District.","21-Oct-2024","1000000","NA"
"6558","Normal/Others","WS/MP171/2024-2025/148942-Construction of community centers and community halls","Telangana","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Construction of Community Hall at 9th Ward, Padmavathi Colony, Chandur Municipality, Nalgonda District.","21-Oct-2024","498000","23-Dec-2024"
"6559","Normal/Others","WS/MP171/2024-2025/148943-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Laying of CC Road from Tiramdas Pandu (H) to Ganji Neelambari (H) in Chandur Municipality, Nalgonda Municipality.","21-Oct-2024","470523","23-Dec-2024"
"6560","Normal/Others","WS/MP171/2025-2026/148944-Construction of community centers and community halls","Telangana","PEDDAPALLI(District Collector Peddapally_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","019	Construction of Community Hall Near Sri Jagath Maha Muneeshwar Swamy Ashramam in Kalvasriramapur(V&M), Peddapalli Distric","21-Oct-2024","499000","16-Sep-2025"
"6561","Normal/Others","NA-Installation of fixed garden gym equipment","Telangana","MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Installation of fixed garden gym equipment AT Kalwala(V), Kesamudram(M),","21-Oct-2024","499000","NA"
"6562","Normal/Others","WS/MP078/2024-2025/148961-Construction of boundary walls of existing public and community buildings","Himachal Pradesh","KULLU(DEPUTY COMMISSIONER KULLU_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Retaining/Protection wall at Puaagi on Link Road Tandi,  G.P. Tandi, Dev. Block Banjar, District Kullu (HP). Executing agency BDO Banjar.","22-Oct-2024","200000","01-Jan-2025"
"6563","Normal/Others","WS/MP078/2024-2025/148965-Construction of additional rooms and halls in the existing public and community building","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o additional rooms in GHS Phindru, VPO Phindru, Dev. Block Pangi, District Chamba (H.P.)  Executing agency Head Master Through Dy. Director Elementary/Higher Education.","22-Oct-2024","500000","06-Jan-2025"
"6564","Normal/Others","WS/MP078/2024-2025/148989-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o L/R with interlock from main road to the house Sh. Tirlok Chand and Sh. Ajay Kumar, Village Ghar, Ward No. 02, G.P. Bandu, Dev. Block Panchrukhi, District Kangra (H.P.) Executing agency BDO Panchrukhi.","22-Oct-2024","200000","20-Jan-2025"
"6565","Normal/Others","WS/MP078/2024-2025/148990-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o L/R with interlock from Sh. Sanjay Kumar house upto the house of Sh. Rajpal Village kandharal, G.P. Bhandu, Dev. Block Panchrukhi, District Kangra (H.P.) Executing agency BDO, Panchrukhi.","22-Oct-2024","200000","20-Jan-2025"
"6566","Normal/Others","WS/MP078/2024-2025/148996-Street lights","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Installation of Seven (07) Solar Street Lights near the house of  1. Sh. Kamlesh Kumar 2. Sh. Swroop Kumar 3. Sh. Payar Chand 4. Sh. Dulo Ram 5. Sh. Murli Ram 6. Sh. Jaimal Ram 7. Sh. Karmchand All are villagers of Village Ghar, G.P. Bandu, Dev. Block Panchrukhi, District Kangra as per recommendation of Sh. Ajay Kabir.  Executing agency P.O. Himurja.","22-Oct-2024","107835","20-Jan-2025"
"6567","Normal/Others","WS/MP078/2024-2025/149008-Purchase of books for public libraries/ digitization of library books","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Purchase of Books for School and Public Library at Hamirpur, District Hamirpur through Dy. Director Higher Education, Hamirpur, District Hamirpur (HP)","22-Oct-2024","397452","21-Nov-2024"
"6568","Normal/Others","WS/MP078/2024-2025/149012-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Ambulance road (soiling and Metaling with retaining wall) Kiar to Kaprol, Village Kaprol, G.P. Kiar, Dev. Block Theog, District Shimla. Executing agency BDO, Theog","22-Oct-2024","500000","14-Jan-2025"
"6569","Normal/Others","WS/MP846/2025-2026/149024-Construction of community centers and community halls","Telangana","RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o Comm Hall at Budigajangala Colony  near Govt. Hospital Gambhiraopet (v), Gambhiraopet (m)","23-Oct-2024","500000","17-Feb-2026"
"6570","Normal/Others","NA-Construction of community centers and community halls","Telangana","RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o Comm Hall at GouriShanker Mudiraj Colony in Pothugal (V) Mustabad (m).","23-Oct-2024","500000","NA"
"6571","Normal/Others","WS/MP846/2025-2026/149032-Construction of community centers and community halls","Telangana","RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o Comm Hall at Mudiraj Colony Opposite High School Bandankal (v) Mustabad (m).","23-Oct-2024","500000","17-Feb-2026"
"6572","Normal/Others","WS/MP846/2025-2026/149035-Construction of community centers and community halls","Telangana","RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o Comm Hall at Kurma(Battu) Colony Gudem (v) Mustabad (m).","23-Oct-2024","500000","17-Feb-2026"
"6573","Normal/Others","WS/MP195/2025-2026/149055-Creation of new ponds","Uttar Pradesh","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Creation of new ponds","22-Oct-2024","1733000","21-May-2025"
"6574","Normal/Others","WS/MP147/2024-2025/149056-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction of interlocking Kharanja drain from Pratap's house towards Hargobind Master's house in village Dhamari.","22-Oct-2024","500000","02-Jan-2025"
"6575","Normal/Others","WS/MP147/2024-2025/149057-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction of interlocking Kharanja drain from Vinod Harijan's house towards Naththan's room in village Dhamari.","22-Oct-2024","500000","02-Jan-2025"
"6576","Normal/Others","WS/MP147/2024-2025/149058-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction of interlocking Kharanja drain from Pratap's house towards Sukhveer's house in village Kurwara.","22-Oct-2024","1500000","20-Dec-2024"
